      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    -0.036133         -0.618945         0.491992          null         null         null
    -0.026563         -0.50082         0.39418          null         null         null
    -0.025742         -0.400266         0.317102          null         null         null
    -0.031141         -0.318455         0.248798          null         null         null
    -0.039756         -0.248318         0.198648          null         null         null
    -0.032586         -0.203147         0.152278          null         null         null
    -0.016499         -0.172283         0.119479          null         null         null
    0.00184         -0.125131         0.095192          2.743902         0.97561         2.865854
    0.010652         -0.093074         0.076935          3.231707         -2.22561         1.52439
    0.005396         -0.089498         0.064478          2.195122         -1.554878         3.384146
    -0.004277         -0.078044         0.052949          3.140244         -0.823171         3.963415
    0.004196         -0.051693         0.03982          5.335366         -1.067073         2.652439
    -0.002503         -0.038229         0.047091          4.939024         -0.365854         2.042683
    -0.018018         -0.040935         0.032985          0.335366         0         3.445122
    -0.008945         -0.035678         0.016232          -1.646342         0         2.103659
    -0.004617         -0.028933         0.010251          -0.792683         0.670732         0.670732
    -0.009358         -0.026271         0.009959          0.396341         1.646342         0.914634
    -0.004947         -0.022189         0.016561          1.859756         2.530488         0.97561
    0.001706         -0.015603         0.020866          3.140244         3.079268         -0.27439
    -0.001174         -0.014631         0.012786          3.963415         3.20122         -0.823171
    -0.003478         -0.006822         0.013159          5.304878         2.408537         -0.426829
    -0.001611         0.001183         0.017949          7.560976         1.829268         -1.067073
    0.00086         0.004267         0.017289          8.414635         1.432927         -1.981707
    -0.001851         0.00146         0.018323          8.018292         1.158537         -1.615854
    -0.002653         0.013278         0.013877          7.957317         1.158537         -1.280488
    0.004518         0.020583         0.014227          5.762195         0.640244         -1.768293
    0.007326         0.008849         -0.005806          2.743902         -0.030488         -0.670732
    0.007032         0.004345         -0.005621          2.77439         -1.067073         -0.152439
    0.005821         -0.003555         -0.002544          3.963415         -1.615854         -0.853659
    0.009344         -0.007922         -0.000668          5.426829         -1.676829         -0.914634
    0.00689         -0.004189         0.007473          6.310976         -1.646342         0.030488
    0.001215         0.008953         0.005198          6.981708         -1.310976         0.152439
    0.000386         0.019663         0.001814          6.52439         -1.554878         -0.457317
    -0.005355         0.022761         0.000279          4.72561         -2.408537         -0.945122
    -0.002917         0.010201         0.006083          1.554878         -2.408537         -1.737805
    -0.001748         -0.007464         -0.003727          -0.121951         -1.676829         -1.646342
    0.001141         -0.01144         0.000924          1.219512         -1.036585         -1.036585
    0.003452         -0.009738         0.002107          2.134146         -0.487805         -1.371951
    0.003738         0.002952         0.005982          1.859756         0.243902         -1.402439
    0.007092         0.007049         0.00459          0.670732         0.731707         -1.554878
    0.005674         0.006616         -0.001015          0.27439         0.914634         -0.762195
    0.002781         0.011738         0.002118          0.945122         0.579268         -0.213415
    0.003397         0.012906         0.006382          0.518293         0.914634         -1.067073
    0.006624         -0.001003         0.00823          -1.280488         1.280488         -1.463415
    -0.001928         -0.00881         0.003069          -1.554878         1.402439         -0.518293
    0.002364         -0.011931         0.00226          -0.27439         1.219512         -0.70122
    -0.000452         -0.005443         0.00337          0.426829         1.859756         -0.670732
    -0.006221         0.001895         -0.003554          0.579268         1.737805         -0.121951
    -0.010251         0.002688         -0.002843          0.914634         1.676829         -0.091463
