      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    0.027734         -0.598242         0.538672          null         null         null
    0.020039         -0.470391         0.436602          null         null         null
    0.017203         -0.366742         0.346156          null         null         null
    0.007708         -0.287339         0.274777          2.439024         0.243902         1.615854
    0.010268         -0.235731         0.215524          1.432927         2.286585         0.213415
    0.012902         -0.190928         0.164216          -1.128049         1.52439         0.121951
    0.01579         -0.158407         0.130787          -2.317073         0.609756         0.304878
    0.007749         -0.131217         0.096817          -1.981707         0.670732         0.213415
    0.005418         -0.111615         0.084485          -0.670732         -0.426829         -0.731707
    0.005702         -0.091831         0.074815          0.27439         -1.310976         -2.530488
    0.000069         -0.087722         0.05575          2.378049         -1.036585         -0.97561
    0.011383         -0.069006         0.053975          5.97561         -2.439024         2.042683
    0.025122         -0.05247         0.045524          8.47561         -2.804878         4.02439
    0.020293         -0.029867         0.032122          10.609756         -1.280488         5.27439
    0.009985         -0.008073         0.026479          13.536586         0.060976         5.304878
    0.004472         0.002721         0.013566          16.341463         0.70122         3.780488
    0.002601         0.011552         0.018275          15.823171         0.884146         2.134146
    -0.003974         0.009437         0.016768          12.469513         1.158537         1.371951
    -0.004742         -0.006122         0.018102          9.207317         0.853659         1.646342
    -0.006528         -0.017984         0.013114          8.871951         0.518293         1.798781
    -0.007175         -0.01634         0.010296          12.743903         0.213415         0.823171
    -0.004568         -0.000182         0.017221          17.896341         -0.487805         -0.609756
    -0.006584         0.012355         0.018855          20.487804         -1.036585         -1.036585
    -0.009174         0.018282         0.025045          20.091463         -0.97561         -0.762195
    -0.006558         0.029079         0.026872          16.646341         -0.457317         -0.792683
    -0.00466         0.02756         0.023841          10.396341         0.213415         -0.640244
    -0.003533         0.016579         0.012432          3.841464         0.27439         -0.70122
    0.000299         -0.002948         0.000571          1.493902         0.030488         -1.554878
    0.00102         -0.001577         -0.006575          2.22561         -0.640244         -2.164634
    0.009801         -0.002824         0.000404          3.445122         -0.792683         -2.713415
    0.00745         0.003796         0.005011          4.908537         0.396341         -1.402439
    0.00303         0.009482         0.01436          5.487805         1.128049         0.121951
    -0.002263         0.01032         0.013441          4.45122         1.493902         -0.518293
    -0.008061         0.002396         0.004894          3.079268         1.341463         -1.585366
    -0.003324         0.000159         0.012118          2.317073         0.27439         -2.591464
    0.004177         0.007549         0.012038          1.890244         0.487805         -2.896342
    0.008615         -0.003922         -0.000135          0.548781         1.097561         -1.189024
    0.007087         0.00116         -0.004014          0.213415         1.067073         0.27439
    0.003717         0.006006         0.002062          -0.182927         1.493902         -0.060976
    -0.006206         0.009492         -0.000304          -0.548781         2.073171         -0.762195
    -0.001059         0.00232         -0.009618          -0.243902         1.798781         -1.981707
    -0.000261         0.003809         -0.000468          0.030488         0.762195         -2.469512
    -0.000599         0.000313         0.002751          -0.27439         0.182927         -1.95122
    0.008505         -0.007367         0.004154          -0.823171         -0.335366         -1.128049
    0.00778         -0.010971         0.0043          -0.853659         0         -0.640244
    -0.001588         -0.003894         -0.001443          0         1.036585         -0.579268
    -0.001075         -0.001358         0.002556          0.396341         0.670732         -0.548781
    -0.002423         0.005554         -0.00147          0.426829         0.060976         -0.182927
