      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    0.248242         0.581641         0.491211          null         null         null
    0.199375         0.466289         0.392188          null         null         null
    0.159891         0.373031         0.311992          null         null         null
    0.126936         0.294519         0.248031          null         null         null
    0.10233         0.234834         0.198425          null         null         null
    0.082645         0.188844         0.161865          null         null         null
    0.063577         0.153809         0.133594          null         null         null
    0.052229         0.125391         0.103945          null         null         null
    0.041002         0.098555         0.081398          null         null         null
    0.03202         0.073571         0.062384          3.47561         -1.615854         3.780488
    0.026788         0.062372         0.04815          -0.030488         -0.182927         0.304878
    0.020454         0.05146         0.040473          -0.396341         -0.091463         -0.121951
    0.013043         0.041559         0.037261          -0.396341         -0.152439         -0.426829
    0.012387         0.02895         0.031957          -0.213415         -0.457317         -0.487805
    0.016551         0.022574         0.022636          -0.121951         -0.457317         -0.396341
    0.012264         0.015325         0.022015          -0.457317         -0.396341         -0.396341
    0.00903         0.015385         0.026401          -0.792683         -0.518293         -0.518293
    0.005075         0.014456         0.023074          -1.402439         -0.762195         -0.579268
    0.007771         0.013909         0.014553          -1.981707         -1.25         -0.426829
    0.00817         0.009565         0.009689          -2.347561         -1.707317         -0.365854
    0.009661         0.010191         0.002673          -2.378049         -1.95122         -0.213415
    0.003041         0.00659         -0.000986          -1.981707         -2.073171         0.030488
    0.001261         0.006053         0.001164          -2.286585         -2.286585         0.091463
    -0.006022         0.009335         0.00015          -2.896342         -2.469512         0.152439
    -0.007552         -0.009915         -0.017849          -1.646342         -2.378049         0.731707
    0.003919         -0.005588         -0.021506          -0.487805         -1.95122         0.457317
    0.005479         0.003928         -0.029509          -0.304878         -1.158537         0.365854
    0.006922         -0.007014         -0.01892          -0.731707         -0.27439         -0.030488
    0.004366         -0.015572         -0.006737          -0.914634         0.518293         -0.731707
    0.006813         -0.011872         0.002227          -0.731707         0.97561         -1.463415
    0.002911         -0.014185         0.015063          -0.457317         1.067073         -2.347561
    -0.001772         -0.006856         0.016738          0.121951         0.670732         -2.987805
    0.00366         -0.002555         0.017297          1.371951         -0.091463         -3.170732
    0.008397         0.006745         0.009345          2.195122         -0.70122         -3.170732
    0.008085         0.010279         0.001421          2.286585         -1.067073         -2.896342
    0.007444         0.014864         -0.005308          2.591464         -1.158537         -2.439024
    0.004002         0.018727         -0.004247          2.469512         -1.067073         -1.829268
    0.00203         0.014982         -0.00535          2.012195         -0.731707         -1.067073
    -0.001696         0.010423         -0.000179          1.371951         -0.152439         -0.487805
    -0.004482         0.005408         0.005716          0.457317         0.304878         -0.060976
    -0.004757         -0.004072         0.008089          -0.030488         0.518293         -0.060976
    -0.005173         -0.005796         0.00901          0.030488         0.579268         -0.27439
    -0.006873         -0.001512         0.006231          0.213415         0.609756         -0.548781
    -0.004522         0.001525         0.003813          0.335366         0.609756         -0.823171
    -0.006547         0.003759         0.000902          0.335366         0.579268         -0.884146
    -0.005628         0.007499         0.000526          0.335366         0.670732         -0.792683
    -0.003526         0.004437         -0.005243          0.091463         0.609756         -0.518293
    -0.001649         -0.001138         -0.007319          -0.121951         0.670732         -0.548781
    0.000829         -0.005403         -0.005465          -0.213415         0.853659         -0.579268
