      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    -0.080273         -0.643359         0.476953          null         null         null
    -0.066563         -0.510195         0.387617          null         null         null
    -0.057156         -0.408547         0.304039          null         null         null
    -0.049631         -0.327033         0.239325          null         null         null
    -0.030525         -0.260064         0.190093          3.47561         -0.030488         2.835366
    -0.018951         -0.205903         0.153441          1.158537         -0.152439         -1.707317
    -0.013989         -0.162183         0.119628          0.243902         -0.396341         -1.798781
    -0.014316         -0.130332         0.096679          -0.182927         -0.27439         -1.829268
    -0.011063         -0.102117         0.076171          0.487805         -0.121951         -1.676829
    -0.005725         -0.082085         0.061718          1.006098         -0.152439         -1.463415
    -0.005752         -0.069183         0.048593          0.70122         0.060976         -1.737805
    -0.003625         -0.055737         0.037117          0.487805         0.060976         -1.798781
    -0.004072         -0.048105         0.029889          0.335366         0.060976         -1.463415
    -0.001695         -0.038094         0.02606          0.182927         0.152439         -1.493902
    -0.001551         -0.024811         0.023777          0.091463         0.579268         -1.554878
    -0.003585         -0.015161         0.023514          -0.457317         0.884146         -1.737805
    -0.003258         -0.016621         0.016467          -1.067073         0.853659         -1.768293
    -0.004365         -0.022672         0.011416          -0.731707         0.548781         -1.25
    -0.001539         -0.014036         0.006984          0.121951         0.487805         -1.280488
    -0.000059         -0.010448         0.007931          0.487805         0.457317         -1.371951
    -0.00161         -0.008553         0.003415          0.670732         0.091463         -0.853659
    0.000665         -0.007624         0.005271          1.158537         -0.243902         -0.609756
    -0.000444         -0.003169         0.006561          1.676829         -0.152439         -0.487805
    -0.003285         -0.002926         0.010522          1.95122         0.060976         -0.762195
    -0.001456         -0.002146         0.00666          1.585366         0.243902         -0.945122
    0.002937         0.000041         0.004351          0.426829         0         -1.067073
    0.009185         0.000033         -0.003941          -0.731707         -0.182927         -1.310976
    0.008911         -0.00056         -0.006668          -0.670732         -0.091463         -1.280488
    0.005957         0.003849         -0.003967          0.640244         0         -1.25
    0.005351         0.001908         -0.001807          1.646342         -0.335366         -1.371951
    0.002523         -0.004529         0.003047          1.707317         -0.365854         -1.219512
    0.001433         -0.000693         0.004195          1.829268         -0.335366         -0.97561
    -0.004127         0.001789         -0.001331          1.829268         -0.487805         -0.579268
    -0.004864         0.002994         0.002646          2.347561         -0.823171         -0.823171
    -0.002134         0.001419         0.01032          2.560976         -0.27439         -0.853659
    -0.001512         0.004065         0.010795          1.646342         0.152439         -0.70122
    -0.007264         0.000322         0.003363          0.27439         0.213415         -0.335366
    -0.00835         -0.000524         -0.005904          0.121951         -0.060976         0.213415
    -0.002774         -0.002567         -0.00609          1.280488         -0.182927         0.396341
    0.000125         -0.002445         -0.002919          2.835366         -0.304878         0.518293
    0.005178         -0.002542         0.001376          4.420732         -0.579268         0.670732
    0.005119         -0.001643         -0.003001          5.70122         -0.518293         0.731707
    0.004486         -0.003462         -0.004354          6.890244         -0.579268         0.426829
    0.001831         -0.004723         -0.01071          9.146341         -1.432927         0.609756
    -0.000293         -0.001825         -0.013841          12.77439         -2.22561         1.067073
    0.001523         0.001665         -0.011073          16.67683         -2.865854         0.884146
    0.002976         -0.003551         -0.008468          20.609756         -3.20122         1.036585
