      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z

    -0.011105         -0.038514         0.056068          3.353659         -0.030488         -0.97561
    -0.008884         -0.028858         0.045635          2.378049         0.030488         -0.823171
    -0.01492         -0.023868         0.036313          0.914634         0.304878         -0.670732
    -0.011936         -0.029055         0.021238          -0.091463         0.304878         -0.762195
    -0.009353         -0.027346         0.009764          0.030488         0.182927         -0.731707
    -0.009631         -0.022658         0.01367          0.304878         0.457317         -0.823171
    -0.006728         -0.013439         0.013085          0.823171         0.396341         -0.853659
    -0.003625         -0.004696         0.008319          0.792683         0.243902         -0.640244
    0.001397         -0.001413         0.008999          0.457317         0.457317         -0.609756
    0.002485         -0.001326         0.005246          0.304878         0.853659         -0.518293
    -0.000356         -0.00653         0.004392          -0.243902         0.670732         -0.426829
    -0.000285         -0.011864         0.004881          -0.792683         0.609756         -0.426829
    -0.001204         -0.011445         -0.004494          -0.121951         0.487805         -0.548781
    -0.001354         -0.000757         0.0091          1.128049         0.121951         -0.518293
    -0.00245         0.004472         0.011968          1.189024         0.213415         -0.914634
    -0.000398         0.00807         0.006254          0.792683         0.365854         -1.158537
    0.000854         0.00587         0.005003          0.121951         0.152439         -0.670732
    0.000878         -0.000577         0.00576          -0.70122         -0.060976         -0.640244
    0.000117         -0.005931         0.003241          -1.067073         -0.213415         -0.640244
    -0.004399         -0.008651         -0.002095          -0.914634         0.121951         -0.792683
    -0.002543         -0.003405         0.002035          0.670732         0.121951         -0.884146
    -0.000862         0.005284         0.001042          1.646342         0.121951         -0.762195
    -0.000104         0.008719         0.00142          0.426829         0.182927         -0.853659
    0.002651         0.004632         0.001136          -1.310976         0.030488         -0.853659
    0.005441         -0.000592         -0.004951          -1.707317         0.060976         -0.823171
    0.003181         -0.007114         -0.00689          -1.615854         -0.091463         -0.518293
    0.002545         -0.010183         -0.003559          -0.792683         -0.152439         -0.823171
    0.002231         -0.010881         0.00477          0.548781         0.060976         -0.853659
    -0.002707         -0.000306         0.00616          1.341463         0.426829         -0.70122
    -0.003533         0.010302         0.004732          1.432927         0.457317         -0.609756
    -0.002045         0.009023         -0.001488          0.670732         0.243902         -0.70122
    -0.002222         0.00546         -0.00451          -0.213415         0.335366         -0.670732
    0.006621         0.000267         -0.00185          -0.548781         0.030488         -0.487805
    0.00432         -0.000958         0.003988          -1.371951         0.152439         -0.304878
    0.001894         -0.007407         0.004753          -1.52439         0.030488         -0.426829
    -0.002001         -0.00534         0.002631          -0.548781         0.243902         -0.121951
    -0.00414         0.004908         -0.002388          -0.243902         0.457317         -0.396341
    0.000009         -0.000566         -0.004645          -0.548781         0.152439         -0.609756
    0.000007         0.002086         -0.003911          -0.213415         0.243902         -0.213415
    0.003521         0.001278         -0.00059          -0.243902         0.304878         -0.70122
    0.003012         -0.005227         -0.001448          -0.609756         0.060976         -0.457317
    0.001629         -0.003987         -0.000182          -0.030488         0.457317         -0.365854
    -0.001822         0.001303         -0.000536          0.670732         0.945122         -0.579268
