      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    0.174805         -0.66582         0.4          null         null         null
    0.141602         -0.536563         0.316289          null         null         null
    0.115234         -0.425734         0.256742          null         null         null
    0.106641         -0.371838         0.244652          4.390244         0.152439         1.52439
    0.119883         -0.347079         0.115643          0.640244         -3.445122         3.689024
    0.074227         -0.280789         0.12064          6.707317         -4.02439         8.689025
    0.072272         -0.165256         0.080496          10.823171         -7.835366         10.914635
    0.051763         -0.133767         0.076701          9.878049         -16.097561         15.54878
    0.045512         -0.115608         0.035971          14.603659         -17.591463         16.493902
    0.068636         -0.098736         0.058269          22.957317         -21.79878         17.957317
    0.016042         -0.071762         0.046224          28.963415         -21.585367         19.908537
    -0.012948         -0.009168         0.036979          27.439026         -25.975611         19.024391
    -0.048444         0.069424         -0.00362          20.42683         -27.92683         18.04878
    -0.111216         0.09382         0.011362          18.262196         -14.969513         15.884147
    -0.075106         0.091462         0.050887          24.17683         -4.45122         9.329268
    -0.055593         0.067701         0.123717          30.640245         2.682927         6.371952
    -0.06088         0.056114         0.164013          33.384148         9.359756         1.341463
    0.001686         -0.027765         0.136874          19.664635         6.737805         -3.628049
    0.018146         -0.026509         0.108913          6.219512         5.853659         -3.993902
    0.004361         -0.012418         0.075412          1.067073         11.25         -5.609756
    0.030637         -0.040208         0.013259          -5.243903         15.945123         -9.72561
    0.028416         -0.013807         0.017248          -4.02439         21.920732         -12.164635
    -0.0009         0.003212         0.051494          4.359756         30.670732         -15.213415
    0.030725         -0.046844         0.020882          2.865854         29.512196         -17.835367
    0.041377         -0.072827         -0.053021          -7.286585         24.390244         -18.04878
    0.036031         -0.064902         -0.08812          -16.95122         17.92683         -16.036585
    0.020817         -0.062273         -0.112879          -20.243902         13.292684         -13.323171
    0.017435         -0.060756         -0.120381          -19.085367         7.560976         -9.481708
    0.01551         -0.054464         -0.123063          -13.780488         1.219512         -4.45122
    -0.008881         -0.018767         -0.064856          -5.853659         -2.743902         0.335366
    0.003442         -0.004857         -0.011651          0.396341         -5         2.073171
    0.021113         -0.002128         0.036773          3.567073         -7.439024         4.085366
    0.011031         0.005915         0.0552          5.70122         -7.378049         5.792683
    0.007262         0.01899         0.046699          4.756098         -9.969512         5.884147
    0.015185         0.025153         0.043414          3.628049         -11.067074         4.420732
    -0.018907         0.059966         0.015395          3.75         -4.695122         3.719512
    -0.026063         0.044262         0.048449          4.054878         -0.670732         2.073171
    -0.018311         0.041464         0.031728          3.140244         2.77439         -0.121951
    -0.032422         0.024578         0.028312          1.981707         5.97561         -1.615854
    -0.028477         0.029428         0.017376          0.457317         9.756098         -3.810976
    -0.018094         0.053425         0.024057          1.737805         13.810976         -8.079268
    0.005251         0.045474         0.042683          2.256098         16.402439         -11.737805
    0.029982         0.03052         0.041178          -2.835366         18.567074         -15.030488
    0.040587         0.015432         0.01302          -6.646342         21.890244         -17.286585
    0.030126         -0.04703         -0.010091          -11.280488         26.463415         -17.073172
    -0.013008         -0.042311         -0.004167          -19.268293         31.524391         -15.152439
    -0.041657         -0.040099         -0.04474          -23.353659         32.987804         -14.02439
    -0.086841         -0.018798         -0.060401          -13.658537         31.890245         -12.987805
