      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    -0.081445         -0.574805         0.54375          null         null         null
    -0.060273         -0.467852         0.437539          null         null         null
    -0.043531         -0.374672         0.347492          null         null         null
    -0.039513         -0.302277         0.276431          null         null         null
    -0.030438         -0.235181         0.222708          null         null         null
    -0.02064         -0.185801         0.178557          null         null         null
    -0.023543         -0.1545         0.132103          1.52439         -0.426829         3.292683
    -0.020787         -0.132389         0.106269          -0.670732         1.52439         2.957317
    -0.023075         -0.105325         0.088921          -0.030488         1.615854         2.713415
    -0.020218         -0.081331         0.068012          0.945122         0.945122         2.286585
    -0.015588         -0.061354         0.052261          2.408537         0.030488         1.646342
    -0.011299         -0.043028         0.05216          3.75         -0.487805         1.310976
    -0.010992         -0.030321         0.038408          4.146341         -0.914634         0.762195
    -0.007231         -0.024452         0.034828          3.597561         -1.493902         -0.243902
    -0.003051         -0.01546         0.026886          2.591464         -1.890244         -1.097561
    0.000294         -0.018813         0.017016          1.676829         -1.920732         -1.798781
    0.002188         -0.016418         0.022012          1.280488         -1.829268         -2.22561
    0.000774         -0.005126         0.019172          0.304878         -0.670732         -2.926829
    -0.000162         -0.006836         0.003423          -0.945122         -1.006098         -2.77439
    0.003386         -0.007226         0.007035          -1.067073         -1.310976         -2.652439
    0.006615         -0.006953         0.007581          -0.762195         -0.823171         -3.04878
    0.00705         -0.009273         0.010948          -0.579268         -0.762195         -2.591464
    0.006812         -0.007028         0.010321          -1.067073         -0.518293         -1.646342
    0.004278         -0.008552         0.003374          -1.615854         -0.152439         -0.487805
    -0.003023         0.000776         0.002504          -1.493902         0.182927         0.243902
    -0.004958         0.002964         -0.004833          -1.646342         0.426829         0.213415
    -0.001232         0.001199         -0.002694          -1.981707         0.121951         -0.27439
    0.000772         -0.005681         -0.00489          -1.920732         -0.030488         -0.548781
    0.001399         -0.011381         -0.000982          -1.006098         -0.182927         -0.426829
    0.000729         -0.008909         0.00273          0.365854         -0.213415         -0.579268
    -0.001175         0.003029         0.002965          0.762195         -0.060976         -0.70122
    0.000623         0.010236         -0.001729          -0.304878         -0.091463         -0.70122
    0.00167         0.005259         -0.004509          -1.981707         0.304878         -0.945122
    -0.000617         -0.000285         -0.000872          -2.560976         0.640244         -1.189024
    -0.001666         -0.006088         -0.001089          -1.646342         0.518293         -1.646342
    0.000425         -0.003698         0.003231          -0.304878         0.426829         -2.103659
    0.001903         0.001143         0.003561          0.27439         0.213415         -2.164634
    0.003475         0.004039         0.005193          0.609756         0.335366         -2.073171
    0.004343         0.005185         0.00474          -0.152439         0.457317         -1.493902
    0.004255         0.001023         0.002034          -1.402439         0.487805         -0.762195
    0.003404         -0.003479         -0.002084          -2.286585         0.70122         -0.213415
    0.001552         -0.002002         -0.004597          -2.347561         0.884146         0.27439
    -0.003056         0.001328         -0.002505          -1.737805         0.945122         0.27439
    -0.003616         -0.00089         0.001316          -1.341463         0.914634         0.365854
    -0.006213         -0.001103         -0.002267          -1.219512         0.945122         0.060976
    -0.003799         -0.001859         -0.001619          -1.189024         0.762195         -0.335366
    -0.002062         -0.00344         0.006322          -1.219512         0.426829         -0.731707
