      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    -0.050195         -0.546875         0.55957          null         null         null
    -0.044258         -0.433398         0.45293          null         null         null
    -0.03482         -0.359414         0.368008          null         null         null
    -0.029419         -0.308234         0.290695          null         null         null
    -0.011035         -0.223345         0.229431          3.902439         -0.792683         4.786585
    -0.003164         -0.169692         0.188232          1.432927         -0.884146         0.579268
    -0.006828         -0.14005         0.151367          0.579268         0.091463         -0.579268
    -0.007025         -0.119462         0.123047          0.487805         -0.457317         0.396341
    0.001997         -0.096937         0.097266          1.158537         -1.036585         0.487805
    0.001598         -0.069542         0.082891          1.280488         -0.548781         -0.335366
    -0.005167         -0.060907         0.052055          -0.457317         -0.304878         -0.792683
    -0.011556         -0.051069         0.038128          -1.554878         -0.091463         -0.762195
    -0.007877         -0.049254         0.032846          -0.152439         -0.243902         -1.097561
    -0.002005         -0.033544         0.039558          2.073171         -0.609756         -0.914634
    -0.001409         -0.02078         0.036529          2.256098         -0.152439         -0.762195
    0.001803         -0.015843         0.022778          0.945122         -0.182927         -0.670732
    0.000856         -0.01287         0.016269          0         -0.091463         -0.335366
    0.002638         -0.011077         0.00618          -0.243902         0.121951         -0.762195
    0.001525         -0.013158         0.004358          -0.27439         0.091463         -1.280488
    0.00161         -0.009941         0.003877          -0.335366         0.030488         -0.853659
    0.001288         -0.012054         0.012672          0.030488         0.030488         0.152439
    -0.003852         -0.003003         0.010723          0.579268         0.518293         0.182927
    -0.001715         0.001309         0.009946          0.914634         0.335366         -0.792683
    0.000386         0.003391         0.007371          -0.091463         0.304878         -1.189024
    0.00441         0.003299         0.004334          -2.134146         0.548781         -1.067073
    0.005677         -0.007322         -0.006494          -3.262195         0.335366         -1.128049
    0.000635         -0.014256         -0.007343          -2.652439         0.213415         -0.335366
    0.000508         -0.000467         -0.002945          -1.585366         -0.121951         0.060976
    0.004313         0.002165         0.007019          -1.554878         0.060976         -0.731707
    0.00013         0.007396         0.007178          -1.006098         1.006098         -1.341463
    -0.009076         0.00748         0.011406          -0.792683         1.707317         -0.884146
    -0.008628         0.005007         0.005609          -1.189024         1.920732         -0.091463
    0.002863         -0.007713         0.00605          -2.621951         1.067073         -0.396341
    0.004049         -0.011835         -0.001019          -3.384146         1.25         -0.670732
    -0.002425         -0.011811         -0.0098          -2.713415         1.676829         -0.640244
    -0.004675         -0.003199         -0.005301          -0.640244         1.554878         -1.676829
    -0.007451         0.002909         -0.002483          0.27439         1.463415         -2.378049
    -0.003617         -0.000993         -0.004916          0         0.70122         -2.103659
    0.000427         0.001745         -0.002175          0.030488         -0.121951         -1.707317
    0.002685         -0.006026         0.000604          0.060976         -0.335366         -1.493902
    0.003125         0.000453         0.000092          -0.335366         -0.304878         -1.128049
    0.003281         -0.002763         -0.003442          -0.396341         -0.091463         -1.097561
    0.001062         0.001305         0.000762          0.213415         -0.182927         -1.067073
    0.001045         0.006122         0.00686          1.768293         0.030488         -1.371951
    0.001031         0.009781         0.005683          1.829268         0.152439         -1.280488
    0.003755         0.009973         0.003765          -0.182927         0         -1.097561
    0.001441         -0.000615         -0.001285          -1.676829         0.121951         -1.067073
