      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    0.005573         -0.040498         0.056041          5.914634         -3.384146         2.012195
    -0.003745         -0.035328         0.057919          6.341464         -2.134146         1.189024
    -0.008269         -0.036075         0.056296          4.146341         -0.914634         0.213415
    -0.003881         -0.033743         0.040154          2.317073         -0.914634         -1.067073
    -0.002324         -0.036955         0.032905          -0.152439         -0.365854         -0.731707
    -0.004007         -0.031127         0.00816          -2.743902         0.823171         0
    -0.014729         -0.019628         -0.006949          -3.841464         1.402439         0.213415
    -0.020963         -0.016093         -0.016497          -4.573171         1.371951         0.426829
    -0.020677         -0.016195         -0.022963          -2.22561         0.396341         0.579268
    -0.013221         -0.001432         0.005653          3.018293         -0.426829         -0.487805
    -0.001983         0.002174         0.026593          3.689024         -1.097561         -0.548781
    -0.006079         -0.006854         0.025766          1.463415         -1.097561         -0.152439
    0.000996         -0.005679         0.022371          0.945122         -0.518293         -0.853659
    0.006266         -0.002785         0.015358          -0.640244         0.304878         -1.036585
    0.00345         -0.003205         -0.006269          -2.560976         0.884146         -1.128049
    0.00237         -0.004712         -0.018296          -2.682927         0.792683         -1.402439
    0.003653         -0.004942         -0.015418          -0.731707         0.030488         -1.371951
    -0.000788         -0.017625         -0.005499          0.97561         -0.762195         -0.945122
    -0.003756         -0.015077         0.01064          1.52439         -0.670732         -0.609756
    0.000316         -0.009522         0.011051          1.676829         -0.762195         -0.396341
    0.001425         -0.000587         0.002005          1.737805         -0.579268         -0.304878
    -0.002962         0.013007         -0.00406          1.707317         -0.396341         0.182927
    -0.006276         0.017632         -0.007154          1.95122         -0.97561         0.121951
    -0.00756         0.009028         -0.007676          1.920732         -1.798781         0.243902
    -0.000774         0.009175         -0.00243          1.890244         -2.286585         -0.213415
    0.006802         -0.007113         0.000595          2.743902         -2.042683         -0.670732
    0.005833         -0.007057         0.008093          3.963415         -1.890244         -0.060976
    0.005643         -0.006037         0.009599          4.237805         -0.914634         -0.792683
    0.001584         0.001421         0.014906          4.573171         -0.335366         -0.97561
    0.003221         0.009144         0.014269          3.445122         -0.945122         -0.152439
    0.000037         0.008097         0.00204          3.75         -0.670732         -0.518293
    -0.003095         0.023274         0.011398          6.432927         -1.189024         -0.182927
    0.00436         0.019401         0.017907          4.481708         -1.402439         -0.70122
    0.000558         0.003216         0.013349          1.463415         -0.792683         -1.310976
    -0.000335         -0.010904         0.004039          0.091463         -1.036585         -1.097561
    -0.000072         -0.017121         0.001082          0.335366         -1.371951         -0.609756
    0.002286         -0.007838         0.004577          1.128049         -1.341463         0
    -0.001492         -0.00588         -0.012159          0.548781         -1.128049         0.152439
    -0.001584         -0.001383         -0.010508          1.219512         -1.402439         0.243902
    -0.006345         0.007878         -0.008602          1.768293         -2.103659         0.640244
    -0.000975         -0.019284         -0.02485          -0.152439         -2.987805         2.042683
    -0.002928         0.003909         -0.007185          6.79878         -2.621951         1.036585
    0.004298         0.014455         0.010072          9.847561         -3.323171         1.676829
    0.003438         0.014103         0.014113          7.164634         -2.5         1.036585
    0.00568         0.008744         0.010118          4.878049         -2.408537         1.158537
    0.00181         0.006018         0.009266          4.29878         -1.981707         1.006098
