      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    0.122461         -0.508008         0.613086          null         null         null
    0.097383         -0.403281         0.487344          null         null         null
    0.073805         -0.323797         0.385969          null         null         null
    0.058263         -0.262553         0.302525          null         null         null
    0.048368         -0.206332         0.244754          null         null         null
    0.0426         -0.170925         0.195218          null         null         null
    0.029588         -0.121505         0.15344          1.95122         -1.341463         -0.457317
    0.018983         -0.104431         0.128025          1.554878         -1.036585         -0.914634
    0.018897         -0.090576         0.112772          0.823171         -1.219512         -1.859756
    0.022344         -0.085742         0.090217          -1.493902         -1.036585         -2.865854
    0.010063         -0.069375         0.056354          -2.195122         -1.067073         -2.164634
    0.007269         -0.050226         0.04352          0.152439         -2.5         -0.70122
    0.009722         -0.026509         0.03716          3.536585         -3.384146         -0.609756
    0.010121         -0.011051         0.034806          4.542683         -3.536585         -0.457317
    0.018253         -0.00513         0.026282          2.195122         -3.04878         -0.731707
    0.020267         -0.010159         0.014776          -1.371951         -0.823171         -1.067073
    0.01426         -0.01301         0.005375          -2.469512         0.27439         -0.426829
    0.010041         -0.010017         -0.006442          -1.52439         0.060976         0.762195
    -0.001928         0.001166         0.007347          0.243902         0.70122         0.70122
    -0.000957         -0.00727         0.016424          -0.396341         0.396341         0.396341
    -0.007797         -0.010894         0.020366          -0.670732         0.243902         0.457317
    -0.01112         -0.01477         0.021371          -1.737805         0.182927         0.762195
    -0.007334         -0.021191         0.007917          -2.896342         0.335366         -0.243902
    -0.00489         -0.011875         0.004966          -2.042683         0.27439         -0.213415
    0.005463         -0.017312         -0.005988          -0.518293         -0.731707         0.243902
    0.00398         0.004509         -0.002837          1.798781         -0.914634         0.213415
    0.01334         -0.000299         -0.005981          -0.457317         -0.914634         -0.304878
    0.006375         -0.003755         -0.006347          -0.945122         0.396341         -0.762195
    0.007639         0.008129         0.004297          0.487805         -0.335366         0.152439
    0.006111         0.001816         0.003829          0.27439         -0.243902         -0.121951
    0.002936         0.004382         0.007946          -0.27439         0.304878         -0.640244
    0.001567         0.000576         -0.001065          -1.341463         0.243902         -0.609756
    -0.005387         0.005344         -0.001634          -0.060976         0.396341         0.182927
    -0.0047         0.007009         -0.002283          0.823171         0.152439         0.365854
    -0.002783         0.002483         -0.001045          -0.70122         1.25         -0.670732
    -0.001641         -0.015006         -0.001422          -2.439024         2.012195         -1.067073
    -0.001899         -0.009856         -0.001724          -1.189024         1.432927         -0.365854
    -0.000152         -0.003588         -0.000402          -0.182927         0.823171         0.27439
    -0.001293         0.005333         0.00417          0.060976         0.792683         0.487805
    -0.005527         0.00661         0.009586          -0.213415         0.548781         0.731707
    -0.003445         0.003335         0.005716          -0.97561         0.335366         0.335366
    -0.009396         0.003254         -0.002654          -1.829268         0.823171         0.518293
    -0.006345         -0.004428         -0.006225          -1.95122         0.945122         0.091463
    0.00176         -0.006277         -0.006542          -1.280488         0.518293         -0.426829
    0.000236         -0.006779         0.00336          -0.121951         0.335366         0.091463
    -0.000593         -0.002885         0.002493          -0.030488         0         0.396341
    0.000698         0.003747         0.00258          0.060976         -0.060976         -0.030488
    -0.000223         0.005537         0.000697          0.152439         0.121951         -0.426829
