      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    -0.119336         -0.555273         0.5625          null         null         null
    -0.090781         -0.455352         0.448242          null         null         null
    -0.059148         -0.364281         0.366016          null         null         null
    -0.043413         -0.29123         0.290078          null         null         null
    -0.040199         -0.228687         0.23343          null         null         null
    -0.038018         -0.180606         0.179713          null         null         null
    -0.012055         -0.146438         0.132833          2.591464         -4.359756         -0.121951
    -0.013551         -0.118713         0.103532          2.286585         -3.628049         -0.792683
    -0.009864         -0.093017         0.089857          3.414634         -3.536585         -0.884146
    -0.00086         -0.064648         0.081651          6.280488         -3.414634         -1.371951
    -0.017289         -0.025351         0.047743          4.054878         -2.042683         0.091463
    -0.012855         -0.039812         0.044639          3.75         -2.469512         -0.304878
    -0.00794         -0.04435         0.031805          4.634147         -2.652439         -0.823171
    -0.004985         -0.036261         0.032085          6.280488         -2.530488         -1.493902
    -0.010238         -0.034868         0.047543          6.554878         -2.22561         -2.195122
    -0.002722         -0.022426         0.035105          6.128049         -2.195122         -4.02439
    0.001338         -0.015011         0.032381          5.609756         -1.798781         -5.426829
    0.008102         -0.003415         0.021608          5.121951         -1.585366         -6.158537
    0.016052         -0.001755         0.015138          4.634147         -0.579268         -4.664634
    0.013623         0.005041         0.016798          4.146341         0.060976         -0.518293
    0.016367         -0.003975         0.02086          2.134146         0.243902         0.70122
    0.002547         -0.00318         0.014344          -0.030488         1.280488         1.829268
    -0.005189         -0.005278         0.008741          -1.463415         1.554878         2.743902
    -0.00962         -0.01477         -0.002578          -2.103659         1.737805         2.378049
    -0.008282         -0.006347         -0.009875          -0.945122         1.493902         1.585366
    -0.016977         -0.011132         -0.001064          1.25         1.189024         0.548781
    -0.007722         0.010625         0.002079          3.567073         -0.152439         -0.97561
    -0.007936         0.010453         0.008304          3.810976         -0.335366         -2.926829
    -0.00381         0.007191         0.000002          2.22561         -1.158537         -3.353659
    -0.002071         0.005557         0.000197          1.981707         -1.219512         -4.085366
    -0.003219         -0.006101         0.002306          2.134146         -0.945122         -4.695122
    0.004065         -0.009568         0.000673          3.506098         -0.914634         -4.45122
    0.005596         0.003478         0.00464          4.45122         -0.823171         -3.628049
    0.007211         0.001611         0.001173          3.323171         -1.067073         -3.506098
    0.006941         0.00832         0.001524          2.743902         -0.823171         -3.109756
    0.00731         0.008804         0.006493          2.042683         -0.609756         -3.04878
    0.00995         0.006653         0.006171          0.884146         0.060976         -2.743902
    0.009913         0.008447         0.005913          -0.335366         0.182927         -2.5
    0.011055         -0.002813         -0.005035          -0.670732         1.158537         -1.95122
    0.010407         -0.015922         -0.015551          0.365854         2.286585         -0.304878
    -0.005542         0.000739         -0.002676          2.682927         4.390244         -0.762195
    -0.010488         0.019341         0.00411          3.140244         6.920732         -4.573171
    0.00743         0.012348         0.012858          1.25         6.128049         -4.878049
    0.002233         -0.001254         0.002279          -0.579268         5.365854         -2.22561
    -0.007784         -0.013113         -0.008724          -0.243902         4.756098         -1.036585
    0.001195         -0.008342         -0.003659          0.152439         1.615854         0.030488
    -0.003536         -0.017025         -0.016208          0.426829         0.640244         -0.762195
    -0.005564         0.007474         -0.009646          3.47561         0.152439         -0.670732
