      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z

    -0.000436         -0.043425         0.0574          13.810976         -1.737805         1.036585
    0.001995         -0.002904         0.025412          11.737805         -2.865854         0.518293
    -0.005435         0.000216         0.013689          9.573171         -2.5         0.640244
    0.007371         0.008376         0.00099          6.890244         -3.841464         0.548781
    -0.001135         -0.007948         0.00548          5.914634         -2.743902         0.97561
    -0.006767         -0.015733         0.015907          7.439024         -1.737805         0.457317
    -0.011078         -0.010438         0.029718          10.518293         -0.27439         -1.280488
    -0.019409         -0.00796         0.040181          11.158537         0.792683         -2.042683
    -0.023926         -0.005977         0.036832          9.573171         1.371951         -1.585366
    -0.019336         0.004984         0.031223          6.493903         1.859756         -1.554878
    -0.016055         0.006135         0.014432          2.012195         1.128049         -1.463415
    -0.00757         -0.005834         0.013889          -2.5         -0.030488         -1.463415
    -0.00547         -0.040409         0.011893          -3.871951         0.914634         -1.189024
    -0.011017         -0.022757         0.01967          2.22561         1.707317         -0.030488
    -0.002759         0.006208         0.01808          7.591464         1.341463         -0.853659
    -0.002012         0.020006         0.006847          5.457317         0.792683         -0.945122
    0.001711         0.019911         -0.007413          0.823171         0         -0.853659
    0.003713         0.019054         -0.016282          -0.853659         -1.280488         -1.341463
    0.011564         0.006649         -0.015565          -1.25         -3.018293         -2.073171
    0.011204         -0.009915         -0.011085          -1.737805         -3.841464         -2.256098
    0.010721         -0.023166         0.000312          -0.914634         -3.353659         -2.042683
    0.009553         -0.020682         0.010992          2.378049         -2.652439         -1.097561
    0.009205         -0.002873         0.011137          7.22561         -1.768293         -0.823171
    0.00502         0.017819         0.020824          9.573171         -0.945122         -1.371951
    -0.005554         0.024216         0.020565          6.768293         -0.640244         -1.310976
    0.001221         0.02074         0.004538          3.04878         -1.189024         -1.493902
    0.001563         0.003701         -0.000276          0.670732         -1.707317         -1.737805
    0.002813         -0.012078         -0.001197          -0.548781         -1.890244         -1.432927
    0.001469         -0.012397         -0.002716          0.792683         -1.158537         -1.219512
    0.002542         -0.006207         -0.002758          4.237805         -0.762195         -1.006098
    -0.003435         0.006168         -0.003769          6.402439         -1.219512         -0.792683
    -0.008021         0.010012         0.003039          5.731708         -1.798781         -0.579268
    -0.00798         0.007424         0.002431          3.109756         -2.743902         -0.731707
    -0.003063         0.002228         0.002531          1.920732         -2.957317         -1.463415
    0.004385         0.001978         0.007884          1.768293         -3.079268         -1.493902
    0.005461         -0.005644         0.006112          2.256098         -2.987805         -1.432927
    0.009447         -0.003344         0.002937          3.292683         -2.682927         -1.219512
    -0.000255         0.001231         0.000396          4.207317         -2.103659         -0.70122
    -0.001962         0.006259         0.00559          4.695122         -1.95122         -0.823171
    -0.001765         0.003249         0.007988          4.146341         -1.768293         -1.280488
    0.00562         0.001818         0.010882          5.060976         -2.256098         -1.006098
    0.005863         0.011415         0.009097          5.213415         -2.195122         -1.067073
    -0.001169         0.011281         0.009035          3.292683         -1.95122         -1.463415
    -0.001521         -0.000936         0.004884          2.408537         -2.012195         -1.981707
    -0.002584         0.000423         -0.004296          3.47561         -1.768293         -2.134146
    -0.004606         0.002291         0.002813          4.207317         -1.615854         -1.981707
    -0.00388         -0.002268         0.005376          4.146341         -1.006098         -2.378049
    -0.003886         -0.001229         0.005863          6.25         -0.945122         -2.987805
    0.00236         -0.006061         0.013089          8.20122         -1.25         -3.506098
    0.009505         -0.011685         0.001682          9.878049         -1.52439         -3.47561
