      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    0.037695         -0.67832         0.403711          null         null         null
    0.032695         -0.534063         0.323945          null         null         null
    0.029281         -0.434086         0.254664          null         null         null
    0.024597         -0.352933         0.202364          null         null         null
    0.01167         -0.289182         0.155055          3.810976         -0.243902         4.115854
    0.00875         -0.232713         0.131466          6.25         -0.884146         4.420732
    0.008953         -0.187342         0.109274          7.835366         -0.487805         4.29878
    0.015366         -0.153585         0.091131          9.634147         -0.304878         3.658537
    0.01366         -0.113102         0.07935          10.579268         -0.762195         3.689024
    0.002334         -0.082474         0.074027          10.152439         -1.097561         3.140244
    0.000891         -0.065784         0.064495          9.207317         -1.615854         2.621951
    0.004228         -0.055947         0.049643          8.841464         -2.012195         2.835366
    -0.002086         -0.039875         0.031511          9.939025         -2.286585         2.835366
    -0.005575         -0.028384         0.024232          11.79878         -2.5         1.402439
    -0.00114         -0.020168         0.02505          11.768293         -3.079268         0.609756
    0.002213         -0.021994         0.021407          9.756098         -3.719512         0.670732
    -0.000183         -0.023259         0.017126          7.77439         -4.329268         0.731707
    0.000049         -0.017631         0.018583          7.957317         -4.420732         0.060976
    0.005313         -0.007659         0.016429          10.54878         -4.329268         -0.853659
    0.004641         0.005005         0.018417          12.743903         -3.871951         -0.243902
    -0.001561         0.012793         0.012976          12.439025         -3.567073         0.457317
    0.001486         0.015117         0.01038          10.213415         -3.414634         0.030488
    0.004509         0.00936         0.010648          6.95122         -2.682927         -0.091463
    -0.00069         0.006706         0.013792          3.963415         -2.378049         0.457317
    -0.001528         -0.008307         0.010448          2.530488         -1.859756         0.304878
    0.00327         -0.008403         0.005233          3.414634         -0.762195         -0.487805
    0.004178         -0.00516         -0.00011          5.060976         -0.365854         -0.670732
    -0.000173         0.002903         -0.004971          5.182927         0.457317         -0.182927
    -0.003459         0.00076         -0.001243          4.756098         0.914634         0.030488
    -0.000619         -0.007595         -0.003924          5.823171         1.310976         -0.548781
    0.003607         -0.007053         0.005259          8.689025         0.792683         -0.640244
    -0.001802         0.000608         0.011239          11.006098         0.914634         0.152439
    -0.004762         0.003416         0.016218          11.79878         1.25         -0.457317
    -0.003614         -0.001759         0.013365          12.103659         1.097561         -1.219512
    -0.003868         0.008163         0.01245          12.77439         0.792683         -1.310976
    -0.002704         0.019616         0.018163          12.5         0.487805         -1.402439
    0.002134         0.016865         0.012186          10.640244         -0.213415         -1.219512
    0.005809         0.006851         0.008577          10.27439         -0.640244         -1.128049
    0.00328         0.014465         0.019557          12.195122         -0.335366         -1.310976
    0.001452         0.018018         0.029318          12.408537         -0.27439         -1.371951
    -0.000401         0.014024         0.021306          10.091464         -0.823171         -0.823171
    0.001437         0.00868         0.01138          7.5         -1.310976         -0.426829
    0.002321         0.00792         0.007347          5.213415         -0.945122         -0.365854
    -0.002244         0.002625         0.004315          4.085366         -0.213415         -0.762195
    -0.000233         0.005811         0.000913          4.29878         -0.243902         -1.371951
    -0.000968         0.003282         -0.001028          4.02439         0         -2.103659
    0.00489         -0.001085         -0.005705          3.536585         0         -1.585366
    0.004303         -0.002431         -0.009447          4.542683         0.213415         -0.762195
