      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    0.164648         0.670508         0.388672          null         null         null
    0.130352         0.539531         0.313672          null         null         null
    0.105844         0.433578         0.254063          null         null         null
    0.082527         0.349011         0.204031          null         null         null
    0.066803         0.27706         0.162639          null         null         null
    0.052075         0.218719         0.131283          null         null         null
    0.04459         0.180639         0.098972          0.70122         -0.335366         -0.152439
    0.036844         0.144316         0.078201          -0.060976         -0.243902         -0.579268
    0.031623         0.116039         0.069006          -0.121951         -0.091463         -0.640244
    0.023345         0.09244         0.054619          -0.426829         0.182927         -0.457317
    0.018286         0.071023         0.046625          -0.426829         0.27439         -0.365854
    0.011699         0.053888         0.036714          -0.304878         0.091463         -0.213415
    0.011703         0.041743         0.024879          -0.121951         -0.091463         -0.152439
    0.009558         0.033981         0.020294          0.243902         -0.335366         -0.091463
    0.008232         0.029724         0.013891          0.243902         -0.487805         -0.091463
    0.008343         0.025537         0.009355          0.304878         -0.487805         -0.060976
    0.005893         0.021992         0.006703          0.213415         -0.518293         0.091463
    0.00159         0.016422         0.008292          0.152439         -0.335366         0.091463
    0.000686         0.012161         0.006829          0.152439         -0.27439         0.182927
    0.000353         0.008947         0.010151          0.060976         -0.121951         0
    -0.000889         0.005595         0.006753          0         -0.152439         -0.182927
    0.002414         0.007797         0.008918          0.243902         -0.182927         -0.335366
    0.00447         0.008776         0.005182          0.152439         -0.152439         -0.548781
    0.004162         0.004677         0.002387          -0.243902         -0.030488         -0.548781
    0.002744         0.003937         0.002886          -0.396341         0.060976         -0.640244
    0.002586         0.000611         0.002309          -0.335366         0.060976         -0.70122
    0.001873         0.002051         -0.001864          -0.243902         0.091463         -0.731707
    0.001498         -0.000703         -0.000905          -0.27439         0.152439         -0.823171
    0.000418         0.000024         0.000057          -0.396341         0.335366         -0.823171
    -0.001033         0.000605         -0.001907          -0.365854         0.365854         -0.731707
    0.001517         -0.000883         -0.003479          -0.396341         0.396341         -0.579268
    0.000433         0.00027         -0.00083          -0.27439         0.335366         -0.457317
    -0.000631         -0.000761         -0.000078          -0.152439         0.182927         -0.365854
    -0.002067         -0.000804         0.002086          -0.335366         0.121951         -0.182927
    -0.000677         -0.001424         -0.001456          -0.365854         0         -0.030488
    0.000826         -0.001335         -0.002142          -0.152439         -0.213415         -0.121951
    0.00027         0.003424         -0.000932          0.213415         -0.365854         -0.243902
    0.000606         0.003521         0.003356          0.304878         -0.243902         -0.304878
    0.001071         0.004184         0.008544          -0.091463         0.030488         -0.27439
    -0.000315         -0.001731         0.008593          -0.762195         0.396341         -0.304878
    -0.001033         -0.002947         0.005507          -0.853659         0.518293         -0.27439
    -0.000827         -0.002163         -0.000086          -0.548781         0.27439         -0.27439
    0.000511         0.002176         -0.003975          -0.457317         0.060976         -0.304878
    0.00451         0.003108         -0.008649          -0.518293         0.060976         -0.365854
    0.00146         -0.004545         -0.006919          -0.487805         0.091463         -0.457317
    0.000191         0.001247         -0.003778          -0.335366         0.396341         -0.640244
    -0.002191         -0.001737         -0.000288          -0.304878         0.487805         -0.609756
    -0.002534         -0.000999         0.002309          -0.396341         0.304878         -0.396341
