      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    -0.112109         -0.599219         0.517383          null         null         null
    -0.090859         -0.476055         0.415078          null         null         null
    -0.071125         -0.378109         0.334797          null         null         null
    -0.058853         -0.308347         0.260611          null         null         null
    -0.046106         -0.247068         0.198332          2.591464         -0.27439         0.487805
    -0.032002         -0.202537         0.158471          1.615854         0.243902         -1.036585
    -0.022672         -0.16535         0.128144          1.493902         0         -1.006098
    -0.015208         -0.137554         0.103492          1.158537         -0.152439         -0.609756
    -0.014119         -0.111019         0.082403          0.518293         0         -0.457317
    -0.013639         -0.085105         0.059282          0.335366         0.060976         -0.487805
    -0.008958         -0.06574         0.048988          0.70122         -0.304878         -0.27439
    -0.007167         -0.050834         0.037432          1.646342         -0.426829         0.152439
    -0.005147         -0.040863         0.030141          2.743902         -0.121951         0.030488
    -0.00236         -0.029956         0.031925          4.02439         0.487805         -0.853659
    -0.003451         -0.023379         0.034134          4.695122         0.70122         -1.25
    -0.007057         -0.020265         0.021253          5.091464         0.792683         -1.006098
    -0.003107         -0.01172         0.015635          5.823171         0.487805         -1.128049
    -0.000923         -0.011525         0.021297          6.036585         0.487805         -1.371951
    -0.004059         -0.004923         0.019772          6.615854         1.280488         -1.646342
    -0.005981         -0.003938         0.015622          8.20122         1.402439         -1.554878
    -0.006152         0.010326         0.02324          8.109756         0.914634         -1.432927
    -0.005312         0.005917         0.015467          5.396342         0.914634         -1.829268
    -0.00132         -0.001712         0.002608          3.323171         0.426829         -1.981707
    0.000116         -0.004494         -0.009242          3.384146         -0.335366         -1.585366
    -0.000689         0.002655         -0.006807          5.243903         -0.487805         -2.042683
    0.004137         0.011108         0.00764          6.341464         -0.335366         -3.445122
    0.007997         0.006152         0.018417          5.97561         -0.121951         -3.871951
    0.006983         0.002187         0.021765          5.335366         -0.640244         -2.865854
    0.00754         -0.011141         0.015068          4.542683         -1.006098         -2.530488
    0.003493         -0.003834         0.000531          4.054878         -0.579268         -1.646342
    0.002794         -0.000333         -0.004458          4.634147         0         -1.371951
    0.003407         0.008327         -0.000832          5.853659         0.457317         -2.073171
    0.00253         0.006857         0.000116          5.914634         0.670732         -2.073171
    0.003001         -0.002327         -0.000103          5.762195         0.579268         -2.195122
    0.001815         -0.003815         0.011636          7.042683         1.371951         -2.591464
    0.001257         -0.001294         0.013606          8.780488         2.042683         -2.926829
    0.006669         -0.007285         0.006002          11.280488         1.798781         -3.353659
    0.004945         0.002766         0.014958          15.27439         2.469512         -2.896342
    0.001612         0.012955         0.021341          19.085367         4.02439         -2.652439
    0.000899         0.022864         0.035823          22.560976         6.006098         -3.353659
    -0.010414         0.039775         0.052682          22.530489         6.676829         -3.262195
    -0.014581         0.042953         0.046247          17.560976         6.707317         -4.02439
    -0.017524         0.012683         0.02313          12.22561         7.408537         -4.420732
    -0.014019         0.002529         0.000731          9.329268         6.676829         -3.597561
    -0.01395         -0.012039         -0.012306          10.213415         6.067073         -4.756098
    -0.005886         -0.017249         -0.019024          13.170732         4.29878         -6.006098
    -0.018576         -0.012236         -0.024204          17.5         4.603659         -5.243903
    -0.010955         0.007398         -0.012332          23.323172         4.237805         -5.823171
