      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    -0.104492         -0.619531         0.495898          null         null         null
    -0.082813         -0.492305         0.401992          null         null         null
    -0.063125         -0.397945         0.32843          null         null         null
    -0.0505         -0.319138         0.262353          null         null         null
    -0.049189         -0.257849         0.197382          null         null         null
    -0.039937         -0.210186         0.144234          null         null         null
    -0.026481         -0.173813         0.102887          null         null         null
    -0.008294         -0.134363         0.084458          6.829268         -0.457317         2.073171
    -0.014643         -0.10124         0.073817          8.47561         0.945122         0.030488
    -0.0123         -0.075719         0.073506          8.963415         0.091463         -0.304878
    -0.009254         -0.058817         0.068961          7.317073         -0.182927         -0.518293
    -0.008575         -0.041975         0.054778          5         -0.365854         -0.243902
    -0.00686         -0.037877         0.034252          4.146341         -0.70122         0.030488
    -0.008027         -0.024638         0.029355          4.45122         -1.067073         0.091463
    -0.007789         -0.01932         0.023875          3.719512         -1.280488         -0.640244
    -0.00545         -0.022292         0.015779          2.378049         -1.676829         -1.036585
    -0.003774         -0.02174         0.012819          2.317073         -1.890244         -0.70122
    -0.002824         -0.014462         0.011427          3.323171         -1.371951         -0.243902
    -0.003626         -0.010398         0.012853          4.359756         -0.731707         0.548781
    -0.002315         -0.004803         0.013993          4.786585         -0.060976         1.067073
    0.003421         -0.003451         0.011194          3.689024         -0.060976         0.853659
    0.005081         0.002708         0.010323          2.012195         -0.152439         0.335366
    0.013244         -0.005451         0.003375          0.091463         -0.640244         0.396341
    0.009619         -0.008853         0.003482          -0.152439         -0.579268         1.432927
    0.00457         -0.015285         0.003567          0.762195         -0.243902         2.408537
    -0.002985         -0.005978         -0.000467          3.75         -0.091463         3.262195
    -0.008833         0.002835         0.001384          6.737805         -0.030488         3.292683
    -0.002965         0.011643         0.013998          7.439024         -0.792683         2.5
    -0.004716         0.014783         0.017644          5.457317         -1.25         1.829268
    -0.004749         0.010654         0.01431          1.25         -1.219512         1.097561
    -0.008487         -0.00593         -0.000466          -2.134146         -1.463415         0.548781
    -0.006399         -0.009431         -0.012287          -2.195122         -2.286585         0.091463
    0.002303         -0.005006         -0.011587          -0.182927         -2.134146         -0.457317
    0.002428         0.000683         -0.008684          0.609756         -1.52439         -0.914634
    0.003505         -0.002383         0.001451          0.70122         -1.280488         -1.189024
    0.002218         -0.001711         -0.001183          1.737805         -0.823171         -1.341463
    0.002751         0.009178         0.003937          2.987805         -0.27439         -1.25
    0.00474         0.008514         0.006274          2.408537         -0.091463         -1.402439
    0.002815         0.004663         0.00248          1.859756         0.060976         -1.006098
    -0.000287         0.004902         0.01175          2.164634         0.213415         -0.518293
    -0.001987         0.000797         0.005884          1.310976         -0.060976         -0.27439
    -0.002566         -0.000144         0.001973          0.487805         -0.152439         -0.518293
    -0.00342         -0.002849         -0.002523          0.27439         -0.609756         -1.097561
    -0.000392         -0.004623         0.001302          0.762195         -1.25         -1.402439
    0.001249         -0.001355         0.00319          1.981707         -1.707317         -1.310976
    -0.00154         0.000088         0.007044          2.926829         -1.737805         -1.554878
    -0.000451         0.000852         0.006807          3.536585         -2.164634         -1.768293
    -0.001923         0.00615         0.008571          4.329268         -2.134146         -2.22561
