      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    0.084766         -0.606836         0.505078          null         null         null
    0.063516         -0.484102         0.411484          null         null         null
    0.052375         -0.377711         0.330555          null         null         null
    0.040923         -0.301778         0.267569          null         null         null
    0.032934         -0.241618         0.212102          null         null         null
    0.030058         -0.213607         0.154056          -0.426829         0.853659         1.463415
    0.025023         -0.179675         0.124222          -0.640244         1.615854         0.365854
    0.017284         -0.132997         0.108362          0.243902         1.554878         0.884146
    0.007968         -0.098976         0.086103          -0.060976         1.646342         -0.335366
    0.001882         -0.086407         0.064586          -0.70122         1.432927         -0.396341
    -0.001815         -0.062876         0.051473          1.25         1.036585         -0.182927
    0.002259         -0.042684         0.040593          2.926829         0.731707         -0.853659
    0.007471         -0.040787         0.030521          3.04878         0.365854         -0.97561
    0.008712         -0.038685         0.026761          3.506098         0.27439         -0.640244
    0.009899         -0.027237         0.026877          4.237805         0.243902         -0.731707
    0.007919         -0.013586         0.027557          3.567073         0.762195         -0.823171
    0.007117         -0.012041         0.013842          1.798781         0.914634         -0.640244
    0.005498         -0.016078         0.013808          0.792683         1.036585         -0.792683
    0.001664         -0.008956         0.012023          1.402439         1.585366         -1.036585
    0.001136         -0.009118         0.014306          2.195122         1.615854         -0.853659
    -0.001826         -0.012568         0.008515          2.957317         1.341463         -0.823171
    -0.004586         -0.003804         0.016187          5.030488         1.280488         -0.853659
    -0.003082         0.011605         0.0192          5         1.097561         -0.945122
    -0.004028         0.008893         0.013602          1.768293         1.067073         -0.823171
    -0.003809         0.004576         0.00346          -0.853659         0.792683         -1.219512
    -0.001289         0.00327         -0.003873          -2.22561         0.457317         -1.920732
    -0.001422         -0.008908         -0.011887          -3.323171         0.182927         -2.439024
    -0.000161         -0.015915         -0.014783          -2.5         -0.304878         -2.77439
    0.004754         -0.019373         -0.009483          0.213415         -0.579268         -2.652439
    0.005561         -0.005537         0.003156          3.353659         -0.518293         -2.286585
    -0.000629         0.014516         0.01229          3.75         -0.182927         -2.256098
    0.005747         0.012589         0.013348          1.371951         -0.27439         -2.439024
    0.004011         0.009681         0.006577          -0.609756         -0.365854         -2.012195
    0.007115         0.000518         -0.000207          -1.189024         -0.243902         -2.103659
    0.006278         -0.00564         -0.000752          -0.426829         -0.091463         -2.378049
    -0.001618         -0.002754         -0.000601          0.609756         -0.27439         -2.378049
    -0.00188         -0.003961         -0.003606          0.823171         -0.396341         -2.22561
    0.002011         -0.002583         0.00024          0.579268         -0.27439         -2.012195
    0.002976         0.003793         -0.003714          0.243902         -0.152439         -1.95122
    0.001014         0.005378         -0.001018          0.030488         -0.243902         -1.95122
    0.00335         0.005474         0.003482          0.060976         -0.518293         -2.012195
    0.008149         -0.000699         0.002005          0.487805         -0.762195         -1.859756
    0.008277         0.003152         0.001994          1.25         -0.670732         -1.493902
    0.001348         0.004279         -0.001139          1.920732         -0.091463         -1.219512
    -0.003023         0.002252         0.000651          1.676829         0.396341         -0.97561
    -0.004176         -0.006988         0.00306          0.853659         0.823171         -1.341463
    -0.003732         -0.010473         0.004596          0.27439         1.128049         -1.25
    -0.001228         -0.004667         0.002505          0.27439         1.128049         -1.128049
