      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    0.138281         -0.666797         0.410742          null         null         null
    0.115703         -0.535781         0.311797          null         null         null
    0.092367         -0.438781         0.243969          null         null         null
    0.077409         -0.351611         0.19498          null         null         null
    0.062513         -0.282265         0.157351          null         null         null
    0.054894         -0.232062         0.134475          4.115854         -1.067073         -0.97561
    0.043329         -0.18565         0.10758          3.231707         0.548781         -2.682927
    0.036421         -0.139535         0.097782          3.079268         0.518293         -2.469512
    0.026207         -0.120808         0.080374          0.762195         0.762195         -1.737805
    0.017645         -0.090201         0.058831          0.335366         1.463415         -0.914634
    0.009624         -0.062005         0.036713          0.27439         1.128049         -0.518293
    0.007309         -0.046088         0.021363          -0.487805         0.579268         -0.426829
    0.004284         -0.038238         0.015137          -0.426829         0.640244         -0.548781
    0.009092         -0.032934         0.015625          -0.27439         0.396341         -0.792683
    0.009031         -0.032792         0.017578          -0.518293         -0.060976         -0.731707
    0.00703         -0.024281         0.017969          -0.243902         0.060976         -0.609756
    0.003475         -0.0163         0.01457          -0.152439         0.304878         -0.579268
    0.004147         -0.007766         0.009703          -0.731707         0.335366         -0.670732
    0.005076         -0.009924         0.002294          -0.884146         0.213415         -0.884146
    0.002107         -0.00872         0.005155          -0.640244         0.091463         -0.853659
    0.004225         -0.00932         0.005296          -0.487805         0.213415         -1.067073
    0.003966         -0.010776         0.008729          -0.091463         0.304878         -0.884146
    0.000829         -0.008035         0.006397          0.091463         0.182927         -0.640244
    0.003398         -0.001155         0.006094          -0.27439         0.365854         -0.335366
    0.003109         -0.003268         -0.000593          -0.609756         0.213415         -0.457317
    -0.002005         0.000511         -0.00067          -0.304878         0.121951         -0.27439
    -0.000628         -0.003107         0.000441          -0.152439         -0.121951         -0.396341
    -0.000307         -0.002486         -0.000038          0.091463         -0.182927         -0.27439
    -0.001027         -0.001598         0.002704          0.304878         -0.091463         -0.27439
    -0.002579         -0.000888         0.003335          0.762195         0.243902         -0.152439
    -0.001673         0.002024         0.00052          0.579268         0.213415         -0.213415
    0.000615         -0.00092         0.003736          0.152439         0.091463         -0.396341
    0.000687         -0.005033         0.003575          -0.121951         -0.060976         -0.70122
    0.002308         -0.002464         0.003836          -0.152439         0.060976         -0.579268
    0.000479         0.000178         0.001116          -0.579268         -0.030488         -0.396341
    -0.000984         0.001314         -0.003599          -0.640244         0.152439         -0.365854
    0.000775         0.003786         -0.003465          -0.243902         0.213415         -0.304878
    0.001011         0.001271         -0.002772          -0.304878         0.060976         -0.518293
    -0.000949         -0.000741         0.000712          -0.487805         0.030488         -0.518293
    0.000022         -0.000007         -0.003142          -0.853659         -0.182927         -0.487805
    0.002361         -0.002349         0.000612          -0.548781         -0.243902         -0.457317
    -0.001627         -0.004223         0.001075          -0.060976         0         -0.335366
    0.002019         -0.001621         0.002423          0         0.27439         -0.365854
    0.000834         0.003391         -0.001382          -0.213415         0.243902         -0.396341
    0.000081         0.004861         -0.00091          0.182927         0.365854         -0.152439
    -0.001693         0.00174         -0.000728          0.243902         0.152439         -0.304878
    -0.002331         0.001978         0.002152          -0.060976         0         -0.640244
    -0.000888         -0.000371         0.001721          -0.365854         -0.213415         -0.609756
