      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    0.135547         -0.676172         0.389844          null         null         null
    0.103359         -0.535859         0.308555          null         null         null
    0.080734         -0.434547         0.233758          null         null         null
    0.076306         -0.364044         0.182709          null         null         null
    0.061826         -0.296899         0.153199          2.743902         1.402439         0.670732
    0.043406         -0.222285         0.129786          2.896342         5.060976         -0.182927
    0.031209         -0.168258         0.104219          1.646342         3.628049         -0.70122
    0.020671         -0.135583         0.081422          -0.121951         1.371951         -1.402439
    0.017708         -0.107685         0.070997          -0.152439         0.182927         -1.463415
    0.014753         -0.095132         0.061485          0.823171         -0.091463         -1.402439
    0.020982         -0.082551         0.043329          1.280488         0.304878         -1.371951
    0.013856         -0.063111         0.028413          0.091463         1.493902         -1.310976
    0.009522         -0.050294         0.01316          -1.615854         1.52439         -1.463415
    0.009766         -0.033399         0.009161          -2.042683         1.097561         -1.463415
    0.002539         -0.031016         0.007915          -0.853659         1.493902         -1.95122
    0.011992         -0.0295         0.015902          1.036585         0.487805         -1.95122
    0.012719         -0.021452         0.015651          1.615854         0.426829         -1.341463
    0.008808         -0.013646         0.016427          0.548781         0.670732         -1.402439
    0.005484         -0.009159         0.014314          -0.335366         0.945122         -0.945122
    0.001848         -0.004202         0.006178          -1.128049         1.432927         -0.792683
    0.001674         -0.00551         0.004161          -1.310976         1.189024         -0.579268
    -0.001786         -0.005775         0.001766          -1.463415         0.914634         -0.365854
    0.004626         -0.006573         -0.002103          -1.402439         0.731707         -0.914634
    -0.000206         -0.007993         -0.001292          -0.853659         1.006098         -0.731707
    0.000226         -0.008348         0.005217          -0.152439         1.036585         -0.457317
    0.000181         -0.003553         0.007103          -0.152439         0.97561         -0.70122
    0.000145         -0.002842         0.005682          -0.70122         1.097561         -0.609756
    -0.000079         -0.000711         0.006304          -1.158537         0.945122         -0.335366
    -0.000454         0.000407         0.003285          -1.463415         0.97561         0.121951
    -0.005051         -0.004948         -0.006356          -1.25         1.707317         0.182927
    -0.002088         0.006394         -0.002937          -1.158537         1.676829         -0.548781
    0.006924         0.00199         0.007221          -3.292683         0.914634         0.335366
    0.002805         -0.012471         0.000699          -5.27439         0.060976         2.042683
    -0.004006         -0.014469         -0.009207          -2.926829         0.060976         1.310976
    -0.014924         0.00073         -0.006389          -0.27439         1.310976         -0.060976
    -0.007252         -0.000197         -0.006674          0.27439         1.341463         -2.073171
    -0.00209         -0.002892         -0.012565          2.195122         0.762195         -3.140244
    -0.001477         -0.000947         -0.006146          6.52439         0.182927         -2.987805
    0.000967         0.003344         0.006021          10.426829         -0.152439         -3.323171
    0.007609         0.004433         0.005988          11.402439         -0.091463         -3.902439
    0.01097         -0.010906         0.010845          12.713415         0.091463         -3.932927
    0.008581         0.003775         0.019419          13.75         0.335366         -3.414634
    0.008427         0.017668         0.025105          10.853659         0.213415         -3.47561
    0.004789         0.02351         0.011295          4.634147         0.670732         -3.353659
    0.004026         0.013534         0.010208          1.128049         0.792683         -2.957317
    0.008494         0.007507         0.008362          0.640244         0.243902         -2.195122
    0.000741         -0.002783         0.003369          -0.060976         0.426829         -1.646342
    -0.002728         -0.006719         0.003867          -0.518293         0.945122         -1.829268
