      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    0.011914         -0.661133         0.443945          null         null         null
    0.009531         -0.526367         0.35457          null         null         null
    0.00743         -0.419727         0.287758          null         null         null
    0.004967         -0.337148         0.230597          null         null         null
    0.006903         -0.270891         0.177642          0.182927         0.152439         0.548781
    0.005913         -0.215931         0.143871          -0.457317         0.335366         -0.670732
    0.004145         -0.173722         0.117636          -0.487805         0.27439         -0.731707
    0.004683         -0.141712         0.094109          -0.335366         0.365854         -0.914634
    0.003551         -0.11376         0.075678          -0.396341         0.182927         -0.792683
    0.003622         -0.088469         0.05605          -0.518293         0.243902         -0.548781
    0.002116         -0.070189         0.044059          -0.27439         0.213415         -0.27439
    -0.002604         -0.055565         0.034856          0.030488         0.152439         -0.243902
    -0.00052         -0.04621         0.032768          0.121951         -0.060976         -0.609756
    -0.000026         -0.032866         0.030706          0.548781         -0.030488         -0.70122
    0.002909         -0.026879         0.024956          0.609756         0.640244         -1.158537
    0.001741         -0.021503         0.016058          -0.182927         0.70122         -1.25
    0.000807         -0.020328         0.009331          -0.670732         0.335366         -1.036585
    0.00045         -0.014114         0.010004          0.213415         0.304878         -0.884146
    0.000556         -0.01051         0.00937          -0.030488         0.396341         -0.945122
    0.002984         -0.008017         0.00652          -0.304878         0.213415         -1.280488
    -0.000152         -0.007586         0.005606          -0.121951         0.396341         -1.128049
    -0.002466         -0.005678         0.005071          -0.030488         0.426829         -1.310976
    -0.00041         -0.005128         -0.001217          0.091463         0.365854         -1.646342
    -0.0015         -0.005079         0.002542          1.067073         0.487805         -1.890244
    -0.000809         -0.003477         0.006721          1.310976         0.304878         -2.378049
    0.00404         -0.000829         0.009283          1.25         0.579268         -2.652439
    0.004795         -0.003397         0.003716          0.70122         0.670732         -2.591464
    0.001492         -0.005257         0.004145          0.152439         0.579268         -2.042683
    -0.00115         -0.003229         -0.005083          -0.457317         0.518293         -1.829268
    0.006502         0.003276         -0.000941          0.518293         0.304878         -1.920732
    0.000514         -0.001481         0.000224          0.243902         0.762195         -1.432927
    0.003731         -0.00177         0.005452          0.030488         0.304878         -1.006098
    0.002204         -0.001026         0.000846          -0.365854         0.518293         -1.128049
    0.000396         0.000351         -0.002448          -0.243902         0.121951         -0.579268
    -0.002027         -0.0005         -0.001763          0.335366         0.457317         -0.579268
    -0.000645         0.00253         0.004449          0.670732         0.426829         -0.823171
    0.000656         0.00261         0.003754          0.579268         0.27439         -0.884146
    -0.000061         0.003064         0.002808          0.365854         0.396341         -0.914634
    -0.001612         0.002842         0.001661          -0.121951         0.396341         -1.006098
    0.002031         -0.002414         0.000743          -0.243902         0.365854         -0.97561
    -0.0015         0.000803         -0.001359          -0.152439         0.396341         -0.609756
    0.00212         -0.001701         -0.006165          -0.182927         0.365854         -0.884146
    -0.002015         -0.00097         -0.001807          0.243902         0.27439         -0.792683
    0.001709         -0.000581         0.003046          0.97561         0.548781         -1.006098
    -0.000196         -0.000074         -0.00225          1.310976         0.731707         -1.219512
    0.00375         -0.000059         -0.001019          1.676829         0.731707         -1.036585
    -0.001102         -0.000243         -0.002768          1.859756         0.823171         -0.70122
