      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    0.115234         -0.677539         0.402148          null         null         null
    0.094336         -0.542813         0.326797          null         null         null
    0.072344         -0.43132         0.262414          null         null         null
    0.055141         -0.343298         0.209345          null         null         null
    0.045675         -0.273076         0.167476          null         null         null
    0.037321         -0.220414         0.134958          null         null         null
    0.031615         -0.176722         0.105036          null         null         null
    0.023534         -0.142549         0.085006          null         null         null
    0.02039         -0.115211         0.066833          null         null         null
    0.015726         -0.090802         0.053857          1.006098         0.426829         1.859756
    0.013753         -0.072837         0.043867          -0.182927         0.426829         -0.579268
    0.010025         -0.059051         0.033726          -0.152439         0.518293         -0.670732
    0.008802         -0.046655         0.027957          -0.213415         0.487805         -0.609756
    0.005674         -0.036738         0.020022          -0.365854         0.518293         -0.640244
    0.003953         -0.028804         0.014846          -0.518293         0.457317         -0.609756
    0.005116         -0.024801         0.011291          -0.426829         0.457317         -0.670732
    0.003311         -0.01945         0.014111          -0.335366         0.335366         -0.487805
    0.001477         -0.014584         0.010312          0.091463         0.335366         -0.365854
    0.002549         -0.008737         0.011375          0.121951         0.27439         -0.335366
    -0.001281         -0.007576         0.010272          -0.365854         0.182927         -0.426829
    0.000538         -0.006647         0.00392          -0.335366         0.396341         -0.823171
    0.001016         -0.010591         0.00216          -0.762195         0.304878         -0.792683
    0.002375         -0.007691         -0.000811          -0.640244         0.243902         -0.70122
    0.002291         -0.007911         -0.000063          -0.487805         0.426829         -0.457317
    0.000661         -0.003985         0.004832          -0.182927         0.487805         -0.365854
    0.001115         -0.000453         0.002694          -0.152439         0.365854         -0.243902
    -0.000671         0.0012         0.002936          -0.335366         0.396341         -0.365854
    0.001416         0.002327         0.001959          -0.396341         0.457317         -0.487805
    -0.00082         -0.000482         -0.001753          -0.457317         0.487805         -0.609756
    -0.00007         -0.000776         -0.000036          -0.396341         0.457317         -0.70122
    0.000921         -0.003551         -0.002568          -0.518293         0.396341         -0.548781
    0.000736         -0.003622         -0.000882          -0.365854         0.365854         -0.579268
    -0.000973         -0.000163         0.001638          0         0.487805         -0.579268
    0.000784         0.00319         0.000724          -0.152439         0.457317         -0.579268
    -0.000349         -0.000378         -0.000592          -0.304878         0.487805         -0.457317
    -0.001061         0.000674         -0.004575          -0.365854         0.304878         -0.518293
    -0.000263         0.000149         -0.000145          -0.304878         0.182927         -0.487805
    -0.001968         -0.002811         0.0034          -0.152439         0.182927         -0.518293
    -0.00216         -0.001272         0.005259          -0.182927         0.152439         -0.518293
    -0.000752         0.005818         0.002254          -0.365854         0.365854         -0.487805
    0.002719         -0.006087         -0.00054          -0.487805         0.365854         -0.426829
    -0.00134         0.001966         0.001716          -0.060976         0.609756         -0.396341
    0.000295         -0.000771         -0.001557          -0.426829         0.27439         -0.365854
    0.000431         -0.002179         0.004809          0.213415         0.609756         -0.548781
    0.000736         -0.000962         0.001504          -0.121951         0.426829         -0.640244
    0.001565         0.000402         -0.001727          -0.182927         0.396341         -0.579268
    0.00301         0.003642         -0.00353          -0.182927         0.640244         -0.853659
    0.002603         0.000765         -0.001652          0.27439         0.670732         -0.640244
    0.000129         0.003347         -0.004056          0.640244         0.609756         -0.396341
