      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    0.008203         -0.649805         0.461133          null         null         null
    0.002852         -0.517305         0.362852          null         null         null
    0.003063         -0.411695         0.296336          null         null         null
    0.000888         -0.336583         0.239412          0.670732         -0.304878         0.518293
    0.001491         -0.264188         0.19446          -0.27439         0.518293         -0.457317
    0.00256         -0.210179         0.14424          -0.670732         0.487805         -0.487805
    0.001853         -0.168729         0.12086          -0.518293         0.487805         -0.579268
    0.002459         -0.137913         0.100595          -0.548781         0.457317         -0.731707
    0.000209         -0.113846         0.073444          -0.884146         0.548781         -0.518293
    0.001535         -0.089905         0.061099          -0.762195         0.609756         -0.518293
    -0.000725         -0.068799         0.049661          -0.487805         0.609756         -0.365854
    0.001177         -0.05582         0.037775          -0.518293         0.640244         -0.304878
    -0.000425         -0.042703         0.029634          -0.670732         0.70122         -0.335366
    0.005324         -0.024983         0.024098          -0.97561         0.670732         -0.396341
    0.001134         -0.033267         0.007755          -1.737805         0.548781         -0.792683
    0.000712         -0.021927         0.014798          -0.823171         0.426829         -0.518293
    -0.001384         -0.02301         0.012619          -0.945122         0.152439         -0.670732
    -0.005404         -0.016259         0.014392          -0.640244         0.030488         -0.365854
    -0.001784         -0.020429         0.019912          -0.487805         0.243902         -0.579268
    0.003456         -0.011851         0.009485          -0.70122         0.457317         -0.365854
    -0.0029         0.00087         0.0029          -0.70122         0.609756         0.243902
    -0.004273         -0.002624         -0.007836          -0.70122         0.548781         0
    -0.002442         -0.001123         0.007012          -0.030488         0.365854         -0.548781
    -0.000195         -0.007734         0.007758          -0.030488         0.335366         -0.792683
    0.00414         -0.006773         0.007183          -0.182927         0.457317         -0.945122
    0.001359         -0.001903         -0.002847          -0.487805         0.365854         -0.640244
    0.000306         -0.003085         -0.001106          -0.121951         0.396341         -0.762195
    0.001026         -0.002272         0.003803          0.060976         0.335366         -0.670732
    0.000235         0.000526         0.00148          0.243902         0.335366         -0.609756
    -0.000203         -0.000361         -0.002918          0.060976         0.365854         -0.640244
    0.003549         -0.00146         0.001963          0.121951         0.457317         -0.609756
    0.003034         -0.006637         0.003133          0.213415         0.426829         -0.335366
    0.002232         -0.001989         -0.000033          0.579268         0.640244         0
    -0.005636         0.001338         -0.004323          0.792683         0.731707         0.152439
    -0.003142         0.001852         0.007284          1.371951         0.609756         -0.030488
    0.001588         0.003239         0.003092          1.036585         0.670732         -0.335366
    0.004396         0.007279         0.006576          0.060976         0.853659         -0.304878
    0.006446         -0.001403         -0.003529          -0.792683         0.457317         -0.243902
    -0.004804         0.00708         0.00831          0.853659         0.97561         -0.335366
    -0.002671         -0.005468         -0.007219          -0.213415         0.640244         -0.487805
    -0.006825         0.001875         -0.001869          0.365854         0.670732         -0.579268
    0.000595         -0.002992         -0.003644          0.335366         0.457317         -1.310976
    0.000867         -0.002589         -0.002524          0.670732         0.365854         -1.189024
    0.001279         -0.003048         0.002082          0.884146         0.396341         -0.97561
    0.003172         -0.001071         0.002642          1.371951         0.426829         -0.914634
    0.00117         0.003635         0.004848          1.676829         0.518293         -0.640244
    -0.001603         0.00369         0.002511          1.890244         0.731707         -0.731707
