      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    0.068555         -0.680859         0.40625          null         null         null
    0.057969         -0.544492         0.325391          null         null         null
    0.043641         -0.437938         0.265977          null         null         null
    0.038038         -0.348397         0.208289          null         null         null
    0.030625         -0.277741         0.165459          null         null         null
    0.0245         -0.221802         0.128852          null         null         null
    0.016866         -0.180567         0.104449          2.103659         -1.615854         1.493902
    0.01486         -0.140352         0.08727          0.914634         0.060976         -0.121951
    0.011302         -0.112086         0.068449          0.579268         0.396341         -0.426829
    0.009042         -0.085567         0.056126          0.579268         0.579268         -0.548781
    0.005475         -0.072555         0.046073          0.030488         0.426829         -0.762195
    0.007505         -0.059997         0.035296          -0.396341         0.487805         -1.067073
    0.00659         -0.051318         0.02394          -0.335366         0.487805         -1.067073
    0.004686         -0.039883         0.015636          -0.152439         0.518293         -0.914634
    0.005507         -0.030539         0.015634          0.152439         0.457317         -0.731707
    0.003234         -0.023455         0.013288          0.518293         0.457317         -0.731707
    0.001806         -0.018373         0.015123          0.335366         0.396341         -0.670732
    0.00203         -0.017433         0.011903          -0.243902         0.396341         -0.640244
    0.002601         -0.01297         0.007569          -0.579268         0.304878         -0.548781
    -0.000654         -0.008813         -0.000195          -0.548781         0.182927         -0.335366
    0.000649         -0.00373         0.001602          -0.060976         0.304878         -0.396341
    -0.000457         -0.007281         0.011243          0.060976         0.365854         -0.518293
    0.001392         -0.004067         0.007236          -0.243902         0.487805         -0.640244
    0.001114         -0.004621         0.005008          -0.762195         0.487805         -0.640244
    0.002453         -0.004087         0.000686          -0.884146         0.579268         -0.762195
    -0.000381         -0.001903         0.000158          -0.945122         0.365854         -0.579268
    0.001062         -0.004061         0.000517          -0.792683         0.365854         -0.579268
    -0.000517         -0.005593         0.001          -0.579268         0.365854         -0.457317
    -0.001781         0.000213         0.001776          -0.396341         0.304878         -0.426829
    -0.00162         0.000952         0.00064          -0.060976         0.640244         -0.518293
    -0.001101         0.002519         0.000512          -0.304878         0.670732         -0.609756
    0.000096         -0.002477         0.001191          -0.396341         0.823171         -0.914634
    0.002616         -0.000809         -0.00061          -0.457317         0.823171         -0.792683
    0.001311         -0.001429         -0.004199          -0.70122         0.548781         -0.731707
    0.000268         -0.00212         -0.002383          -0.457317         0.396341         -0.579268
    -0.000567         0.000648         0.001219          -0.213415         0.365854         -0.457317
    -0.001235         -0.000653         0.002342          -0.182927         0.487805         -0.487805
    -0.000988         0.000454         0.000507          -0.487805         0.396341         -0.396341
    -0.000204         -0.000223         0.001968          -0.579268         0.396341         -0.487805
    0.000618         0.00197         0.000012          -0.609756         0.640244         -0.518293
    0.001471         -0.000572         -0.000772          -0.70122         0.365854         -0.487805
    -0.000972         -0.001825         -0.002766          -0.457317         0.335366         -0.335366
    -0.001559         0.000688         0.001108          -0.304878         0.304878         -0.335366
    0.000901         -0.001012         0.001667          -0.365854         0.335366         -0.426829
    0.000135         0.000362         -0.000229          -0.548781         0.457317         -0.579268
    0.00128         -0.001468         -0.002527          -0.487805         0.579268         -0.457317
    -0.000734         0.001755         -0.000849          -0.396341         0.670732         -0.548781
    0.001171         -0.000158         -0.001656          -0.27439         0.518293         -0.518293
