      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    0.041406         -0.649219         0.461523          null         null         null
    0.032734         -0.51625         0.367656          null         null         null
    0.028336         -0.412414         0.296664          null         null         null
    0.021106         -0.332861         0.236941          null         null         null
    0.01708         -0.265898         0.185256          null         null         null
    0.015031         -0.21389         0.149376          null         null         null
    0.012611         -0.172675         0.119501          null         null         null
    0.009112         -0.137554         0.097554          null         null         null
    0.006313         -0.106332         0.077653          null         null         null
    0.003879         -0.085066         0.064466          null         null         null
    0.003298         -0.073131         0.046495          -0.426829         0.091463         0.030488
    0.005178         -0.059481         0.035242          -0.213415         0.396341         -0.426829
    0.003166         -0.044655         0.034835          0.030488         0.365854         -0.182927
    -0.000007         -0.033966         0.02318          -0.121951         0.152439         -0.213415
    0.000776         -0.026001         0.019325          0         0.27439         -0.182927
    0.000035         -0.02041         0.017804          0.091463         0.70122         -0.365854
    0.001981         -0.01418         0.014634          -0.213415         0.487805         -0.487805
    -0.000173         -0.013883         0.013074          -0.426829         0.396341         -0.548781
    0.002205         -0.015989         0.003038          -0.823171         0.365854         -0.487805
    -0.000579         -0.008299         0.002235          -0.487805         0.365854         -0.426829
    0.001685         -0.007225         0.005499          -0.182927         0.060976         -0.304878
    0.002324         -0.010077         0.006352          0.060976         0.182927         -0.27439
    -0.000484         -0.000835         0.008402          0.243902         0.70122         -0.304878
    -0.001169         -0.000668         0.001253          -0.304878         0.396341         -0.27439
    -0.00113         0.000247         0.001002          -0.27439         0.365854         -0.426829
    0.002026         -0.002928         0.002169          -0.670732         0.213415         -0.518293
    0.002402         -0.00449         0.00447          -0.731707         0.365854         -0.457317
    0.00407         -0.006522         -0.005799          -0.731707         0.426829         -0.335366
    -0.001236         -0.001507         -0.004444          -0.060976         0.579268         -0.304878
    -0.000989         -0.001987         -0.000821          0.182927         0.27439         -0.243902
    -0.001573         0.002708         0.010085          0.304878         0.091463         -0.152439
    -0.001453         -0.00174         0.002404          -0.27439         0.457317         -0.121951
    -0.001163         0.005834         0.006611          -0.335366         1.006098         -0.335366
    0.000632         0.000761         -0.005844          -0.945122         0.70122         -0.27439
    -0.003986         0.001976         -0.002136          -0.823171         0.335366         -0.27439
    -0.001236         -0.006622         0.003174          -0.853659         0.060976         -0.579268
    0.000378         -0.005102         -0.000781          -0.70122         0.396341         -0.670732
    0.000107         0.001191         -0.003945          -0.335366         0.487805         -0.731707
    -0.000891         0.004664         -0.000031          -0.152439         0.182927         -0.548781
    0.00417         0.002169         0.001342          -0.365854         0         -0.823171
    0.001774         -0.002952         0.001269          -0.487805         0.152439         -0.945122
    0.0022         -0.003143         0.00375          -0.365854         0.426829         -0.914634
    -0.000779         -0.000561         -0.002664          -0.396341         0.243902         -0.487805
    -0.001014         0.003067         -0.007991          -0.091463         0.27439         -0.457317
    -0.001397         0.005578         0.005521          0.457317         0.457317         -0.853659
    0.005132         -0.006866         0.008519          0.182927         0.579268         -1.432927
    0.000786         -0.009399         0.002127          -0.487805         0.70122         -1.219512
    0.002386         -0.005566         -0.009626          -1.036585         0.426829         -0.853659
    0.001518         -0.002109         -0.008287          0.182927         0.152439         -0.152439
