      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    0.101367         -0.579102         0.537695          null         null         null
    0.078945         -0.459375         0.434063          null         null         null
    0.066086         -0.37082         0.351156          null         null         null
    0.049353         -0.299195         0.280339          null         null         null
    0.041436         -0.243653         0.224271          null         null         null
    0.037055         -0.198048         0.182347          null         null         null
    0.028277         -0.158438         0.144901          null         null         null
    0.02477         -0.122454         0.115921          null         null         null
    0.020402         -0.084682         0.091955          null         null         null
    0.01886         -0.069698         0.056963          null         null         null
    0.019385         -0.056149         0.03639          null         null         null
    0.020391         -0.050779         0.044151          4.695122         -0.426829         1.676829
    0.011235         -0.030467         0.042352          3.536585         -0.304878         -0.548781
    0.005472         -0.021053         0.03271          0.945122         0.152439         -0.548781
    0.001643         -0.021725         0.027535          -1.006098         0.396341         -0.731707
    0.002682         -0.028318         0.021442          -0.853659         0.487805         -0.731707
    0.000388         -0.023631         0.013638          0.426829         0.579268         -0.487805
    -0.002229         -0.014217         0.010911          0.853659         0.609756         -0.640244
    0.000756         -0.008444         0.007947          0.457317         0.579268         -0.609756
    0.002363         -0.003044         0.003819          0.091463         0.487805         -0.518293
    0.003843         -0.0081         0.004422          -0.27439         0.579268         -0.731707
    0.005028         -0.011362         0.002366          0.243902         0.518293         -0.487805
    0.003827         -0.010652         0.005799          1.189024         0.670732         -0.457317
    0.005991         -0.001686         0.009717          1.097561         0.945122         -0.548781
    0.003035         0.004511         0.011485          0.579268         1.097561         -0.640244
    0.00028         0.001069         0.00743          -0.457317         1.219512         -0.731707
    -0.000558         -0.001098         -0.001283          -0.792683         1.189024         -0.823171
    -0.000446         -0.0083         -0.001417          0.426829         1.097561         -0.823171
    -0.002505         -0.004882         -0.000352          1.280488         0.914634         -0.914634
    -0.00552         -0.00039         -0.001844          2.469512         0.97561         -1.219512
    -0.000314         0.006914         0.011415          4.29878         0.945122         -1.341463
    -0.004548         0.005336         0.003078          1.52439         0.365854         -0.335366
    -0.000709         -0.002567         -0.001054          0.70122         0.579268         -1.280488
    -0.001348         -0.002249         0.000915          1.585366         0.548781         -1.097561
    0.002437         -0.001799         -0.002198          2.5         1.189024         -1.890244
    -0.004691         -0.000658         -0.004102          1.981707         1.219512         -1.097561
    -0.002581         -0.016151         -0.010899          2.134146         1.097561         -1.463415
    -0.004799         -0.00296         0.002414          6.067073         0.945122         -1.646342
    -0.004816         -0.005688         0.00447          8.079268         0.70122         -1.615854
    -0.005415         0.004043         -0.005799          9.908537         1.006098         -1.707317
    0.002308         0.00382         0.003955          12.012196         1.890244         -2.926829
    -0.007724         0.020439         0.010781          11.158537         1.981707         -1.981707
    0.002024         -0.001422         -0.002703          9.176829         2.073171         -3.079268
    -0.000529         -0.003481         -0.004702          10.396341         2.957317         -3.231707
    0.00446         -0.001809         -0.001027          10.152439         2.804878         -2.195122
    0.01431         0.003436         0.005624          14.817074         3.04878         -2.896342
    0.004612         0.050991         0.005866          16.402439         2.987805         -2.439024
    0.021072         0.054269         0.012701          7.378049         1.280488         -3.04878
    0.01842         0.017439         -0.008394          -0.792683         -0.945122         -1.189024
    0.031338         0.011217         0.000902          0.640244         -2.103659         -0.548781
