      acc_x            acc_y            acc_z               ang_x             ang_y            ang_z



    0.115039         -0.609766         0.519531          null         null         null
    0.093789         -0.482148         0.416406          null         null         null
    0.076008         -0.385133         0.330977          null         null         null
    0.0694         -0.305762         0.246422          2.042683         -2.134146         0
    0.052004         -0.241094         0.204559          2.073171         -1.859756         -2.804878
    0.038869         -0.19229         0.160523          1.341463         -1.52439         -2.408537
    0.031681         -0.160082         0.130762          0.579268         -1.554878         -1.432927
    0.026517         -0.122792         0.103242          0.213415         -1.158537         -0.670732
    0.028049         -0.099015         0.085328          -0.548781         -1.006098         0.030488
    0.023221         -0.074915         0.066505          -1.036585         -0.365854         0.823171
    0.019553         -0.06169         0.053594          -1.615854         0.182927         1.52439
    0.01115         -0.051305         0.045219          -3.018293         0.70122         2.347561
    0.009702         -0.053739         0.033832          -3.963415         1.341463         2.317073
    0.006394         -0.046898         0.025698          -2.317073         1.128049         2.957317
    -0.001135         -0.034002         0.023879          -1.676829         1.493902         2.865854
    -0.003447         -0.021538         0.01715          -2.134146         1.432927         2.469512
    0.000563         -0.016644         0.009423          -2.743902         0.853659         2.469512
    0.002403         -0.014292         0.000898          -3.109756         0.27439         2.5
    0.008368         -0.017488         0.002476          -2.22561         0         2.378049
    0.00396         -0.01067         0.009403          -0.640244         -0.182927         2.439024
    0.00102         -0.009318         0.013577          -0.243902         -0.579268         2.286585
    -0.002114         -0.007259         0.010666          -0.121951         -0.945122         2.195122
    -0.007551         -0.004635         0.008728          -0.121951         -0.914634         1.676829
    -0.007017         -0.002146         0.001904          -0.579268         -1.036585         1.189024
    -0.005614         -0.003279         -0.000625          -0.640244         -1.097561         0.243902
    0.001173         -0.00399         -0.00343          -0.396341         -1.158537         0.060976
    0.003868         -0.002606         -0.003916          -0.457317         -1.128049         -0.060976
    0.004266         -0.002866         -0.002742          -0.335366         -0.884146         0.091463
    0.005562         -0.001707         -0.001803          0.152439         -0.426829         -0.121951
    0.00484         0.001369         0.000706          0.670732         -0.27439         0.060976
    0.000552         0.002462         0.003104          0.487805         -0.304878         0.335366
    -0.001707         0.003728         -0.000251          0.365854         -0.030488         0.304878
    -0.001952         0.006107         0.003901          0.762195         0.213415         0.548781
    -0.006249         0.002933         -0.000395          0.457317         0.426829         1.036585
    -0.006366         -0.005271         -0.005004          -0.243902         0.884146         1.189024
    -0.007632         -0.008318         -0.003808          -0.365854         1.219512         0.792683
    -0.004348         -0.011342         -0.001093          -0.213415         0.914634         0.365854
    -0.000939         -0.006535         0.003422          0.823171         0.70122         0.426829
    0.000616         0.002975         0.008597          2.560976         0.548781         0.518293
    -0.000289         0.011755         0.012737          3.231707         0.548781         0.487805
    0.001918         0.010967         0.014487          2.286585         0.426829         0.426829
    -0.00081         0.009555         0.009246          0.182927         0.396341         0.213415
    0.003258         0.000417         -0.00608          -2.560976         0.182927         0.060976
    0.002021         -0.010018         -0.015216          -3.231707         -0.030488         -0.121951
    0.002398         -0.010553         -0.014907          -1.219512         -0.121951         0.121951
    0.000161         -0.004927         -0.004504          1.585366         -0.213415         0.121951
    -0.001629         0.002894         0.008311          2.987805         -0.213415         -0.213415
